Pros,Cons,Pros_topics,Cons_topics
Owner Boss Workable Goals Living,"Surge times, taxes, rental company",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"Benefits, forward thinking company, willing to listen,  has a career path for self driven individuals, compensation is good, and there is recognition and internal opportunities for those who put in the work.","At times communication lacks - really depends on your direct supervisor.  At this time, there is no pay for performance bonus models for high achievers.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Flexibility and independence are the 2 best.,Support/orientation for new drivers,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Salary, Uber Credits and other Perks",Toxic corporate culture and management that does not care.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
work when you want to,hard to contact the company,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Grow your strategic and operational skills working for one of the world's fastest growing companies.  Learn from and collaborate with inspiring coworkers.,"Be prepared to enjoy your work AND to work hard. Hours are long sometimes, but it's worth it.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
It is free to let you do what you could do,The working environment is not good,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
flexible time. easy to start.,not sure where u heading.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"I receive a lot of support from my manager &amp; some of my colleagues, the environment is becoming more &amp; more pleasant","Earlier on, the environment seems a little colder and office event participation is very much lesser. After a few office events were set up, staff bonding is at a much better level. Staff are now more eager to participate in office events being held. People now shows more trust &amp; cooperation when a better bond is created. Work runs more smoothly.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Expanding your network and getting to know the best of the best in this industry all around the world. Ask and you'll get help as people here are friendly. Best part of working in Uber is that we are contributing to making the world a better place to live in.,"As best as the company tries, as a place that's growing this speed, communication will tend to be the biggest problem. I sometimes feel I don't receive information as quickly as I wished I had.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Vibrant technology, to sustain continuous growth. The challenges and problems are good problems to have: growth, growth, growth! With reliability and security as top priority.  Some really outstandingly smart, fast and bold engineers!","There is at time redundancy/conflicting projects among teams, and this can be sub-optimal.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
u can drive when you want,low pay for time spent driving,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Great office and catered lunch!,Not much room for growth or review for raise.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
i been driving for uber for about 3 years and i know the city of san diego and that can help me to do a good job for eat24,Internship events could have been better!,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Choose your own working hours,Poor pay hardly covers the cost of operating your own vehicle,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
You are 100% flexible and see around,None at the moment.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
The flexibility to drive when I want and create my own schedule is wonderful!  I also appreciate the incentives to earn extra income!  They are really powerful and make a huge difference in my daily financial goals.,"Sometimes it is difficult working near colleges because if the student thinks your getting to them will take too long, they will call another UBER driver so I found it better to work away from campuses for that reason and for the reason that the rides were usually short and unprofitable.  Airports are another bad place to pick people up because you are usually waiting along with many other drivers in a special lot and...",income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
Working for myself on my own schedule was helpful to my lifestyle.  People appreciated the service because they were usually to get a ride more quickly than by calling the taxi companies and get it at a better rate.,"The ""pay"" is not excellent by any means.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
I work when and however long or short I want.,"Too many people doing it now, not making as much money",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Flexible hours, enjoy meeting and interacting with people from all walks of life.","Pay is usually below average for similar job titles, but is usually outweighed by other benefits",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Culture, community, benefits, movement, environment",It is impossible to get support for bad deliveries or to correct payment errors. It's not even worth trying and is quite frustrating.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
The pation for a job you like e.g. (working with tools) will make the person work with or without supervision in most casesses working without supervision,Working together in teem spirit to archive the company goal and contribution of ideas makes the job very easy,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Flexible hours, you can work when and if you want.",Some days are very slow.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
You can make good money if they let you stay in the Boost areas,Here in Tucson they will boost all the way around the city but in the middle of the city they won't put a boost and guess what happens they know the drivers will sign on cuz they're in the Boost areas but they will send them into the areas in the middle of town each time to take a delivery because they know if you don't take the delivery they will not give you deliveries for the rest of the night so they' dont  boost...,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
You decide when you want to work,Production oriented and some long hours.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Lots of resources and great communication from all levels,not enough structure for an intern.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"great working environment, great people and food","Despite growth, still startup trying to do more with less. Very much a stay lean and cheerful type culture, which can lead to overscoping. But you don't join Uber for the work life balance, you do so to for a chance to change the way the world works for the better. We have the privilege of a real honest-to-goodness opportunity at doing that every day.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Fast paced, very dynamic work environment. Despite tough 2017, morale is up with new CEO, and unmatched opportunity to shape new, changing industries. Very high levels of autonomy and trust in the team. Manager cares about me and my development.","- Negative press. Media will only hype up negatives, and as someone that has been working at the company, I have seen so much improvement.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Amazing working environment, great employee base, excellent support from colleagues at all levels, amazing perks, opportunity to travel (nationally), strong level of autonomy",Hard to outline a single con,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"The people, benefits, pay, work",Can't think of any... less meetings maybe?,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Meet a lot of nice people and work when you want,I have not come across any cons,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
You set your own hours,Sometimes they would send me to a wrong address,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"I am able to drive on my own schedule, make whatever I can each time I drive",cost the driver to drive for uber eats when you figure in gas and wear and tear. Can't  contact support  if needed.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
The best and brightest people anywhere. The opportunity to learn a lot and to be a pioneer.  Start-up culture defined.,It can be speratic on how much you make,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Love to work when you wanted to work,"Super fast pace, highly demanding, highly stressful.",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
None I hate Suber wish it never exist,Lot of work on your car,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
As a driver i could work independently with an open schedule and receive a good amount of work,"Little pay 95% of time gas money, No disregard for drivers at all",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Set your own hours. Instant pay. Meet your community.,Wear and tear on your car. Gas,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Lots of tech perks. Ping pong, video games, food etc. The list goes on. Culture is lacking, and people are really to themselves.","Culture is lacking, and people are really to themselves.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Uber Benefits and fast paced work environment,Data can be more organized,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Work at your own time,"Minimum wage, late hours and",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"My 2-year journey at Uber has been the most thrilling and rewarding. Every single aspect of working at Uber is incredible if you're up for the challenge. You'll meet some of the most passionate, smartest and dynamic set of colleagues who are deeply inspired by the mission of Uber. Every single person I've met here deeply cares about the company. There hasn't been a single day in the past 2 years, where I haven't felt...",I guess you've heard this before.. The food is free but not that great. Although I very much appreciate the fact that it is free.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Smart team, great offices, outstanding experience, hours, athmosphere and again, the people","not much really, all good",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Remote working, great benefits, free credits for rides/eats","Young inexperienced workforce, politically heavy in regional offices.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Work is available at most times of the day.,Pay amounts to not much more than $5/hour.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
Work when you want. There are no other pros!,"Not worth it at all, you make less than minimum wage. Does to cover any portion of your car use, insurance, gas and etc...  No tips means less than minimum wage. I rarely get tips.",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
You get more ride Uber is cheaper for the rider there for the pay for the driver is less also. A lot less than you make with Lyft.  Customer service is terrible half the people barely speak English you can't understand a word they say.,I signed up under a friend I was supposed to receive $250.00 after 40 rides I was told that wasn't the promotion at the time I signed up basically they cheated me out of my bonus,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"flexibility, independence, control, time management, comfort","No resume or skills building, no future job growth, social stigma, possibility of automated cars, the new face of corporate culture through nano-economy, not an employee, but merely a ""partner"".",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
the exams are hard not easy,that  the boss are way to call,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Work when you want. Very flexible schedule and you get to meet new people and find new places in your city.,Prices keep dropping it don’t effect Uber but it effects drivers. It’s not even worth driving for Uber anymore. Costs are to high to make any profit.,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"I love that I can pick up some fares when I know that I'm going to the south end of town.  It's quite a drive, so that pretty much at least covers the gas.  Hey, I was going anyway!  I love meeting people and everyone is taking Uber for different reasons.  I  don't like hearing stories about bad driver experiences though.  That makes it bad for all of us.","Although so many things have been added to the app, I do wish I could see all the other drivers out there.  I could then go to another area where there would be a little less waiting.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Lots of responsibility and ownership.,No real cons - worked really hard,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Uber is a very fast-paced environment which helps you improve your own skills.,"It's also the fast-paced environment, as you learn and expand your knowledge, you are always outside your comfort zone. Sometimes I feel that I need to take some rest.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Lunch/Good Environment/Uber Benefits and promos,Small Pay and hard to grow,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
It's very dynamic and you can learn a lot of things,Uber is greedy.  Fares constantly adjusting.  Have to call a hotline if you cannot find a solution trough the app.,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"INCREDIBLE POSITION! I worked in the Chicago market and had a wonderful experience as a Brand Ambassador. This is an effortless job, you literally get paid to take ride with competitors such as Lyft and Via. I never had to go in to an office, so this job is perfect for someone who is a student, has an existing full-time job and travels a lot. 10/10 I loved it!","Some of the people in leadership are too young and immature for their roles. They are really bright and driver, but that doesn't necessarily make them good leaders. There is a human aspect to being a leader that is lacking in some. The compensation team was never a team that thought the people were the most important aspect of the company. When negotiating salary shoot high otherwise its going to be really tough once...",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Flexibility  of being able to work when you want,I feel that  anyone cares about  who you are or what happens to you. Maybe 1 person at less and that makes us know less as a team.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Over the last 4 years of my life Uber was my life. I lived and breathed the company and everything it had to offer. It was an honor to help this company grow in LatAm and work with so many smart, driven, and generally good people. Working long hours, working on the weekends, and the hustling was generally not a problem because I was constantly inspired to keep going.  Would not change my experience at Uber for any other...",Cheap company. They never care about workers.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Can't tell nothing good. They killing market.,No benefits at this job,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
I can work on my own schedule,"Inequality, inefficiency, lack of organization and clarity.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Multinational surroundings, office space, in office benefits (kitchen, sports..)","Super fast learning curve, everything is learning on the spot and I personally love that but I know that it may not be the best way to learn for everyone.",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Know new people everyday, share experiences, have fun with them",Almost nothing except sometimes you get stacked with super drunk ones and make mess up in your vehicle like vomiting and stuff.,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
"I have absolutely loved my experience at Uber. The people are passionate, the projects are highly important and the culture is fantastic. I have been amazed at every corner by the people I work with and it never ends.","Because Uber is now beginning to ""realign"" and formalize as a company, there are many aspects that seem to be somewhat ad hoc.  As the company matures these processes will become formalized.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Environment of professional and personal growth, with employees who pull us up and teach us every day to be more. We change the world and the lives of people with the push of a button, that's the main thing.","Giant startup, with some communication flaws, where sometimes it is little and in others it is too much.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Pick your own shifts, good if you enjoy cycling",- Struggling to hire so teams slightly understaffed due to external reputation but that is starting to change,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Freedom to work when and (within limits, one state) where you want. Generally a fun job with nice customers, if you're nice.",Don't earn much when its not busy,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
good money good pay yes,People aren't as willing to help each other as other places,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
You can work whenever you want.   Great so you don't have to schedule around work.   No boss hovering over you 24/7,When something goes wrong it's almost impossible to get help to fix it at Uber &amp; Lyft . I couldn't work for 3 days while paying for a rental because I got a new phone number and they kept sending verification codes to old number and that was with help in one of their offices. Both companies are trying to make things better.,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
A VERY good company to work for.  Pay is great. Excellent benefits. The perks are wonderful! Supervisors and managers are extremely easy to work for and usually are willing to help you succeed in you career.  A GREAT place to work.,annoying customers very annoying customers,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
A very dynamic workforce with loads of potential for all employees,Thankfully none that comes to mind,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Set own hours, your income",Sitting and waiting for the busy time,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
The only thing i like a about it is you can stop anytime you want it,Management implements initiatives that are not thought-out or prepared to handle internal crisis-communication; sales commissions were not paid correctly for 5 consecutive months from May 2017-October 2017.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
You are your own boss!,Because is fast money to make and it’s about you how you want it to make the money,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Give platform for part time of full time to earn money. High earnings just by using your car.,You do drive a whole lot!,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
same as others . just the thing is ubereats sends sms to merchants and customers so they react when order and drivers coming ..,No medical or accident coverage. Driver bear alot of cost,growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
At the time ability to get a vehicle,They take huge amounts out of your earnings. They do not follow lease amount. They have stollen funds from my account. I been on them to get it back into my bank account asap. Uber is no help I contacted them several times.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
The only and best thing about this is that you work at your own time but have to put many hours and work during peak times to make any profit.,-Salary can be below minimum wage if there is no work available,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
I'm required to enter at least five words into this field.,"- The holiday attendance policy needs to be revisited. I understand why COE COS/agents are expected to report to work on a public holiday, but for those who work in the COE but aren't agents/aren't handling tickets, I don't understand why it's really necessary for us to be at work (think of the money that could have been saved by letting some employees have the holidays off instead of spending it on paying employees'...",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
You chose your schedule. Meeting new people. I love driving!,May be a bit too much comms and meetings,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Benefits Free lunch and snacks. Great team work environment. Internal succeeding programs,"- Ebb and flow of work - I will have some slower weeks and then longer, more stressful weeks. Not really a con and more a part of the job",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
You have the ability to make your own schedule,"Low pay, high expenses, mostly bad email customer service and unethical company. Only cares about themselves. WARNING DO NOT BUY OR FINANCE ANY NEW CAR TO WORK FOR UBER. YOU WILL REGRET IT!!!",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Choosing your hours is the best advantage of this job. You get to meet a lot of people although some just care about their phones and don’t talk to you. You get to see all of the city. I made over 1100 drives and saw very much.,"Your car takes abuse, whether you drive nice and safe or crazy. San Antonio roads have debris everywhere which has to be watched for and avoided.  Riders don’t care about your ratings.  This is huge. You could be nicest driver and give them the smoothest ride and still get a 4 star rating.  The riders don’t understand that eventually this leads to contract death.  I was hit by a hit-and-run driver and was taken out of...",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
Set your own work schedule,"Drivers should get paid more per mile, too many drivers in Tucson AZ",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
Uber's business is going strong and we continue to revolutionize transportation.,"""There is a high cost to a bad reputation."" We know exactly what we need to do, and that is to be accountable for past mistakes, develop a better culture, celebrate our cities, and move forward.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
work at you own time,"no pay whatsoever wear and tear in you car  plus gas ,and dealing with traffic risking you life for about 5 to 6 dollars per trip and remember you have to come back so 3 dollars  each way  plus the gas ,then is a walk up not elevator and bad parking place .",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"Great way to meet people, discover new places, and make supplemental income.",Pool rides are a waste. GPS is horrible.,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
"Flexibility, meet a lot of good people.","You’re lied to, ripped off, app issues and insulted by the great promotions they run.   Uber used to be good when it was random now that they regulate who gets a ride and when they can pick any rider they want and send them wherever they want, they know that you’re working towards a bonus so it is up to you to cancel the ride or not accept it which will ultimately decide whether you get that bonus or not as you get closer...",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Improve people’s lifestyle in the city. Modernize the way people move in the city. A city is not the same since Uber is available in it.,"The workflow makes you spend more time of the day at work than at pleasure. Many times our workflow is interrupted by local authorities, due to the regulatory issues",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Flexible hours. Potential big earning if willing to pay the price. Free to serve wherever and can work on preferred areas.,"Uber pays much lower than Lyft. Profit and expenses are not adding up. If you want to make the most pay, you need to work like a horse especially during very early morning hour or late at night to earn plenty. Uber always sided with rider's interests and never cared about driver's explanation even on a $5 less dispute. Facts never mattered. Uber only cares about making riders happy. Nevermind the drivers or whatever explanation...",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Free catered lunch, good benefits, relatively cool co-workers.","Horrible management, inefficient systems, trial by fire mentality. Management is out of touch with workers. Supervisor positions are based off seniority and not on 'meritocracy'. All new hires are on a trial by fire 3/4 month temp worker position causing unnecessary stress and the hiring of some people that shouldn't be there. Honestly this whole office wouldn't need to be here if Uber spent some time fixing it's funnel...",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Exciting and cool place to work, great colleagues","The program is still fairly new, so it's a little unorganized.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
I have been working at Uber Mexico for 9 months. Started as an external then got converted to FTE. It has been the most challenging and rewarding experience of my life. the company really cares for its employees and I feel like I can contribute to society just by coming in to work.,There is no life-work balance,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"The values, the personal development and the proud to be here","Losing your seniority when converted, it's as if I started all over again. But worth it either way!",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
I meet new people all over the world.Ican start anytime and i can end anytime basicly the jod work with you..,I can't see this by now,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Your work can have great impact. It is still a growing business and impacts so many lives in a positive way. Most people I have met at the company are awesome and very unlike the image that is portrayed in the media. I am sure things changed after the events of this year.,thecons is u need keep gas money and tollway,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Work when you want and enjoy the folks you ride around town.  Engage with the riders and have fun.,Uber has grown too explosively and there are so many people doing the same thing. Too much redundancy and too many people now.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Great management, great office staff - love it! Often have lunch provided, Bryan is a great manager. Love it.","Not enough hours, just part time - This is a con, but I knew this going in. They were very open about the position.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Possibility to work whenever you want,Oversaturated offer of drivers at some times,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Work when you want. No boss to answer to. Instant pay (if you set that up.),Under $3 for one delivery is common. McDonalds are the worst trips.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"-High-tech, opportunity of working with the smarter people, self-challenge, high-pay",Times can be very dull based on time of day. Hourly pay can vary A LOT,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Can make a lot of money if you figure out how to work surges.,Finicky pax that don't understand the ratings system. Very few people tip. Tons of miles on your car.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Start/Finish whenever you want. Ability to be paid whenever you want for a small $0.50 fee. No boss breathing down your neck.,Not enough calls. Tons of idle time,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Set own schedule and can stop driving whenever you want.,$15.00 I'll been working for one and a half year,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Delivery, taxi. It's a great work sisteme","When I get an Uber request, I can see where they are being picked up from but I would like to see where their final destination is before accepting the ride. I never know where they are going to end up and I think this should be important.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"You get to set your own hours. This is the biggest highlight to me, as a recent college grad who is in the process of looking for a career. Uber allows me to make money when I have time to. The app is user-friendly","Average about 8/hour when you factor in gas, taxes and wear and tear on vehicle. Not worth it.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Best company I have ever worked for. Always asking for feed back on their performance and really care about their employee. The benefits are amazing. I feel encouraged to be myself and bring ALL of my ideas to the table.,THere are none that I can think of,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
You get to work on your own time. Great if you need a little bit of cash flow fast.,Advertising to hire a lot of drivers for a very small area. Too many drivers for such a small area doesn't leave any room to make money.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
You can make your own schedule...,"You are NOT going to make a steady sum of $$ per week. Uber has too many drivers. The IT support is horrible. It feels like you are communicating with robots or really stupid people. They always have a non-sense prompt answer, never related to the problem you have. So, in other words, the - only - concern they have about the workers is regarding on how to control them to maintain this modern slavery they invented.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"SAG desks and teams are better because you are not getting constant calls from various company's customers,  who are angry 99% of the time.  I worked on SAG team and we basically had our own accounts and you build a rapport with the shippers in most cases.",Holiday season is the worst.  They take everyone off of their usual account to help with the heavy call volume.  All of the calls are BS and you are not empowered to handle anything during the phone call.   Everything that you can do the customer can do themselves on the website.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
It is a convient job that is controlled by an app so you can start and stop whenever you want . Its fun meeting,Low fares and over abundance of drivers makes it hard to make money most days and you have to be out Friday and Sat night hauling drunk people around to make a decent buck.  Unless your in a Big City you probably have a hard time doing this as a full time job.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Good work place and nice people to work with,I can't see anything wrong with the work place and people that I work with.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Flexibility, and you can get this with many other driver apps. This company may have started it but they don't have the ethical business standards to keep it going.",Undisclosed changes regarding fare pricing. You lose more money than you make and can be put in some dangerous situations.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
You are your own boss,sitting all day long and dealing with customers,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
great for anyone who needs to make their own schedule.,"uber support can be a headache, it took me 3-4 back and forth emails to get mia airport staging lot location.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Like minded peers working in the same environment. It's fun, there's no regrets coming into work each day. Really loved that they provide lap tops to take home and providing lunch to their staff everyday is a blessing. The opportunity for growth is really comforting as well.",No negatives come to mind when reflecting on UBER and it's structure.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"As an engineer at Uber, you're presented with a unique opportunity to have a very high impact-to-unit-work, and to release products that go live instantly worldwide. The IC-level talent is phenomenal; you're working with bright engineers, designers, and data scientists who all have incredible drive and talent. It's a great place to grow and learn. This has been Uber's biggest value prop to technical members of staff to...",Requiring a lot of energy and motivation,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Easy and works with my schedule,In too much media light lately,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Uber is without a doubt one the best places a person can work for these days. And there are only few such companies exist. The most dynamic environment where life changing projects are born. If you are brave enough to change the world, don't afraid to hustle and willing to meet best professionals - Uber is a very right place.","Managers who are supportive, proactive, and empathetic are unfortunately the exception, not the rule. I imagine some of this stems from scope problems (most managers simply have too many direct reports; my first had something near 20), but if you talk with engineers, there are a scant few who don't have a story about how their manager really let them down during a promotion cycle, review cycle, or project in a manner...",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"it´s a highly disruptive way to work, all can make your point and the idea it´s that everyone are being heard. The crew are full of smart and really intelligent people, what it´s absolutely challenging environment.",Drunk People during late night pickups,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Can’t think of any at this time.,There are no downsides at all,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Excellent benefits; great hours and scheduling; dedicated managers who are committed to your development and growth within the company; amazing work environment; you can wear jeans and a t-shirt to work!; the list goes on and on!,no cons detected within my experience,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
flexible hours for all drivers,"New Company,  still have flaws in the process",income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
"Great for side cash, I found it hard to make enough to actually pay bills though. I think that it is not the best job because of the wear and tear on your car.","Driving most of the time is going to cost you more than you earn (after calculating insurance, registration, wear and tear on vehicles). Plus you don't get consistent trips. The market is saturated and there are times where you often sit for hours without a trip request.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Caring environment, people are always there to help out when you need anything. Everyone is very understanding if something comes up.",you don't know the destination of the fare and must accept it to find out,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
I like that you can work when you log in or not when you're off their platform. But many of the uber eats rides do not tip,The wear and tear on your car as I said. I have heard bad stories of riders making up stories so it's a good idea to get a camera.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
